what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1367963003543
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1367963005403
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1367963013177
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1367963013328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963015446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963020306
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1367963020312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367963020312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963024736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963108546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963119088
error,log,,,"New Project Wizard failed",1367963149032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963174669
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1367963178697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1367963184976
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1367963214038
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1367963219477
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367963221313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963235295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963282082
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1367963282092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963283146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963300623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963302389
error,log,,,"Failed to load properties file for project 'test'",1367963315388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963315466
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1367963315479
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1367963321163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1367963323049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963334137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367963421067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1367963424626
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1367963424661
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367963436785
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367963436857
